id,question,A,B,C,D,answer
12,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我就担心办理你们的贷款会让我的房贷车贷申请出问题,要求发优惠券,活动介绍,是否影响房贷车贷,抱怨,C
13,根据给定的文本和意图标签，选择符合对话表述的标签。文本：借款不是我的选项，别骚扰我,拖延还款,否认借款,欠三方钱未还,答应代偿,B
14,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这金额我接受不了，能减免些吗。,确认还款,询问还款渠道,询问目的,息费减免,D
15,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我工资还没发，暂时还不上啊,询问额度性质,咨询客服电话,不确定能否通过,公司介绍,B
16,根据给定的文本和意图标签，选择符合对话表述的标签。文本：人情往来支出多，还款时间能晚点吗,要求降低利率,询问分期问题,询问还款时间,其他平台利率更低,C
17,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我现在正忙工作，没时间听你说。,联系不上,拖延还款,不方便,催收态度差,C
18,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我在参加科普活动，没注意来电。,质疑威胁,不配合提供联系方式,联系不上,答应代偿,C
19,根据给定的文本和意图标签，选择符合对话表述的标签。文本：可以讲讲活动产品是啥不。,其他平台利率更低,活动介绍,表示分期太短,询问利率,B
20,根据给定的文本和意图标签，选择符合对话表述的标签。文本：你们弄这么多分期期数，我要疯掉啦。,询问还款渠道,询问申请费用问题,表示分期太长,询问利率,C
21,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我很担心申请额度通不过，影响我的资金安排,表示额度太低,询问申请费用问题,投诉,不确定能否通过,D
22,根据给定的文本和意图标签，选择符合对话表述的标签。文本：银行出问题，我还不了款，急死人了。,逾期金额,答应转告,还款受阻,不配合提供联系方式,C
23,根据给定的文本和意图标签，选择符合对话表述的标签。文本：目前的欠款让我不堪重负，重新分期呀。,提供新联系方式,重新分期,拖延还款,息费减免,B
24,根据给定的文本和意图标签，选择符合对话表述的标签。文本：别纠结，打电话为了啥，我不贷款买运动用品,答应转告,询问目的,拒绝转告,修改还款日,B
25,根据给定的文本和意图标签，选择符合对话表述的标签。文本：你们服务态度太差，我不会选择的。,拖延还款,催收态度差,否认借款,拒绝还款,B
26,根据给定的文本和意图标签，选择符合对话表述的标签。文本：被你们威胁，我对贵司印象极差,质疑威胁,答应代偿,联系不上,不配合提供联系方式,A
27,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我和你们要找的人没关系，别找错啦。,不认识,重新分期,不配合提供联系方式,不方便,A
28,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这么多欠款没还，消费贷款不合适。,还款受阻,拖延还款,消除征信,共债,D
29,根据给定的文本和意图标签，选择符合对话表述的标签。文本：请说明一下活动产品是啥,额度审核方式,不确定能否通过,要求降低利率,活动介绍,D
30,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我可不想因为办你们的贷款而影响我正常的房贷车贷。,是否影响房贷车贷,询问申请费用问题,额度审核方式,询问额度性质,A
31,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这可怜的贷款额度，远远低于我的预期,表示综合评分不足,表示利率太高,咨询客服电话,表示额度太低,D
32,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这个还款日和我的其他还款冲突了，得改,催收态度差,修改还款日,逾期金额,联系不上,B
33,根据给定的文本和意图标签，选择符合对话表述的标签。文本：不允许第三方处理欠款，这会干扰我的生活！,确认本人,否认借款,答应代偿,消除征信,C
34,根据给定的文本和意图标签，选择符合对话表述的标签。文本：申请了却没使用，会产生费用吗,咨询客服电话,询问申请费用问题,活动介绍,询问借款失败原因,B
35,根据给定的文本和意图标签，选择符合对话表述的标签。文本：孩子上学开销大，能不能缓一缓还款。,询问还款时间,询问申请费用问题,活动介绍,询问分期问题,A
36,根据给定的文本和意图标签，选择符合对话表述的标签。文本：你们的额度审核方式让我很困惑，快说,询问额度性质,额度审核方式,表示利率太高,表示综合评分不足,B
37,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我要还款，告诉我可以通过什么渠道。,要求发优惠券,咨询客服电话,询问还款渠道,表示分期太长,C
38,根据给定的文本和意图标签，选择符合对话表述的标签。文本：快告诉我逾期金额，别耽搁,逾期金额,欠三方钱未还,修改还款日,拒绝还款,A
39,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我这段时间不需要资金，没打算换家具。,投诉,不确定能否通过,无借款需求,表示利率太高,C
40,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我保证在规定时间能把钱还上，放心吧,确认还款时间,确认还款,共债,修改还款日,A
41,根据给定的文本和意图标签，选择符合对话表述的标签。文本：你们获取我电话号码的渠道合法吗。,重新分期,答应转告,质疑号码来源,答应代偿,C
42,根据给定的文本和意图标签，选择符合对话表述的标签。文本：快快道来逾期金额是多少。,确认还款,询问目的,逾期时间,逾期金额,D
43,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这么高的利率会加重我的经济负担。,表示分期太长,询问利率,要求发优惠券,询问怎么提额,B
44,根据给定的文本和意图标签，选择符合对话表述的标签。文本：能不能减免些金额，我举步维艰。,不配合提供联系方式,催收态度差,息费减免,修改还款日,C
45,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这逾期的账，能靠活动减免点不。,询问是否有优惠活动,询问利率,询问还款渠道,表示分期太长,A
46,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我在照顾生病的家人，没精力管。,确认还款,修改还款日,不方便,逾期时间,C
47,根据给定的文本和意图标签，选择符合对话表述的标签。文本：告诉我可以还款的渠道，我不想逾期了,询问还款渠道,无借款需求,是否影响房贷车贷,询问申请费用问题,A
48,根据给定的文本和意图标签，选择符合对话表述的标签。文本：第三方处理欠款？没门，这会干扰我的事业发展！,答应代偿,欠三方钱未还,逾期金额,修改还款日,A
49,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我现在不方便接这类电话，直接联系我本人。,直接联系本人,否认借款,提供新联系方式,质疑号码来源,A
50,根据给定的文本和意图标签，选择符合对话表述的标签。文本：怎么就逾期了，麻烦告知一下逾期天数？。,质疑号码来源,逾期时间,共债,确认还款,B
51,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我对贷款消费不感冒，别再跟我说。,欠三方钱未还,确认还款,拒绝转告,拖延还款,C
52,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我目前只能还一部分，孩子上学花费多,拒绝还款,直接联系本人,不认识,部分还款,D
53,根据给定的文本和意图标签，选择符合对话表述的标签。文本：跟我说明一下贷款产品额度的性质呗？。,要求发优惠券,询问额度,客户否认操作,询问额度性质,D
54,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我不太懂怎么计算贷款利息。,提供新联系方式,确认还款,拒绝转告,确认本人,D
55,根据给定的文本和意图标签，选择符合对话表述的标签。文本：万一借款审批不下来，我的个人成长受阻,表示综合评分不足,不确定能否通过,询问额度,要求发优惠券,B
56,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我生病了在住院，哪能接到电话,确认还款,联系不上,息费减免,询问还款渠道,B
57,根据给定的文本和意图标签，选择符合对话表述的标签。文本：现在就告诉我能申请到多少额度啊,询问额度,额度审核方式,询问利率,投诉,A
58,根据给定的文本和意图标签，选择符合对话表述的标签。文本：改成 186xxxxxxxx 这个号了，微信是 xxxxxxxx 哦。,提供新联系方式,修改还款日,不认识,不方便,A
59,根据给定的文本和意图标签，选择符合对话表述的标签。文本：别拐弯抹角，说申请借款失败的原因。,询问额度性质,询问申请费用问题,询问借款失败原因,询问额度,C
60,根据给定的文本和意图标签，选择符合对话表述的标签。文本：系统的毛病使我还款受阻，影响我生活。,逾期金额,确认还款时间,拖延还款,还款受阻,D
61,根据给定的文本和意图标签，选择符合对话表述的标签。文本：第三方讨债这事把我折磨惨了，没法申请贷款,确认还款,修改还款日,直接联系本人,欠三方钱未还,D
62,根据给定的文本和意图标签，选择符合对话表述的标签。文本：请马上告诉我逾期金额的数目。,逾期金额,修改还款日,催收态度差,重新分期,A
63,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这个收费太高，能减免一点吗,催收态度差,还款受阻,联系不上,息费减免,D
64,根据给定的文本和意图标签，选择符合对话表述的标签。文本：你们给的分期期数太少，影响我资金周转,投诉,表示分期太短,询问还款渠道,客户否认操作,B
65,根据给定的文本和意图标签，选择符合对话表述的标签。文本：能跟我说明还款是怎么进行的，能用微信还款吗,询问还款渠道,拒绝转告,提供新联系方式,欠三方钱未还,A
66,根据给定的文本和意图标签，选择符合对话表述的标签。文本：孩子上学花费多，没余钱来还贷款,拒绝还款,欠三方钱未还,部分还款,询问目的,A
67,根据给定的文本和意图标签，选择符合对话表述的标签。文本：就不能痛快点告诉我额度审核方式吗,询问额度性质,抱怨,询问怎么提额,额度审核方式,D
68,根据给定的文本和意图标签，选择符合对话表述的标签。文本：近期财务状况不佳，下个月才有能力还款。,拖延还款,质疑威胁,重新分期,联系不上,A
69,根据给定的文本和意图标签，选择符合对话表述的标签。文本：可以减免些费用吗，我负担过重。,息费减免,不配合提供联系方式,质疑威胁,重新分期,A
70,根据给定的文本和意图标签，选择符合对话表述的标签。文本：给我说明白还款的方式，app能用来还款吗。,询问还款渠道,重新分期,否认借款,逾期时间,A
71,根据给定的文本和意图标签，选择符合对话表述的标签。文本：买衣服超支了，啥时候还款能调整下,询问还款时间,表示利率太高,要求降低利率,额度审核方式,A
72,根据给定的文本和意图标签，选择符合对话表述的标签。文本：活动产品是个啥，麻烦解释下。,询问利率,表示综合评分不足,活动介绍,表示分期太长,C
73,根据给定的文本和意图标签，选择符合对话表述的标签。文本：快给我说说这贷款产品额度属于哪种性质？。,询问借款失败原因,询问额度性质,客户否认操作,表示分期太长,B
74,根据给定的文本和意图标签，选择符合对话表述的标签。文本：银行的失误，让我的还款无法进行。,提供新联系方式,确认还款时间,还款受阻,重新分期,C
75,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我承诺会还钱，这是必须做到的。,确认还款,逾期时间,不方便,不认识,A
76,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我这会儿没空，你跟别人讲然后转告我。,拒绝转告,确认还款,答应转告,不认识,C
77,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我现在想还款，都有哪些还款渠道啊。,询问还款渠道,额度审核方式,询问利率,询问额度性质,A
78,根据给定的文本和意图标签，选择符合对话表述的标签。文本：频繁给我打电话，这日子没法过了,投诉,表示分期太长,询问借款失败原因,无借款需求,A
79,根据给定的文本和意图标签，选择符合对话表述的标签。文本：别家利率更低，你们不调整我就不用了,询问分期问题,表示额度太低,其他平台利率更低,活动介绍,C
80,根据给定的文本和意图标签，选择符合对话表述的标签。文本：跟我讲明白还款的途径，微信行不行。,询问目的,息费减免,询问还款渠道,逾期时间,C
81,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我消费需求上涨，能不能提高额度呀。,询问怎么提额,表示额度太低,是否影响房贷车贷,询问利率,A
82,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我不习惯用贷款来满足消费，别沟通,答应转告,拒绝转告,不方便,询问目的,B
83,根据给定的文本和意图标签，选择符合对话表述的标签。文本：贷款额度太低了，我的事业没法起步。,活动介绍,其他平台利率更低,表示额度太低,要求降低利率,C
84,根据给定的文本和意图标签，选择符合对话表述的标签。文本：网络太糟糕，我的还款操作被阻拦,询问还款渠道,欠三方钱未还,还款受阻,询问目的,C
85,根据给定的文本和意图标签，选择符合对话表述的标签。文本：网络的不畅，拖延了我还款的时间,提供新联系方式,还款受阻,不配合提供联系方式,催收态度差,B
86,根据给定的文本和意图标签，选择符合对话表述的标签。文本：被第三方追债，我现在焦头烂额，没法贷款,共债,询问还款渠道,欠三方钱未还,联系不上,C
87,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我这段时间在忙工作，没注意电话,还款受阻,不配合提供联系方式,询问还款渠道,联系不上,D
88,根据给定的文本和意图标签，选择符合对话表述的标签。文本：不给优惠券，我怎么可能还款,咨询客服电话,询问额度性质,表示额度太低,要求发优惠券,D
89,根据给定的文本和意图标签，选择符合对话表述的标签。文本：节日送礼花费多，过几天再还贷款。,拖延还款,息费减免,部分还款,逾期时间,A
90,根据给定的文本和意图标签，选择符合对话表述的标签。文本：麻烦给我透露下额度审核方式呗,不确定能否通过,额度审核方式,询问到期时间,询问申请费用问题,B
91,根据给定的文本和意图标签，选择符合对话表述的标签。文本：逾期金额多少，赶快交底,质疑威胁,逾期金额,确认本人,修改还款日,B
92,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这个欠款利息太高，我觉得很不划算。,优惠力度小,客户否认操作,询问利率,不确定能否通过,A
93,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我根本不知道你们是哪家公司，别纠缠我。,公司介绍,要求降低利率,优惠力度小,询问还款渠道,A
94,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我咨询后没使用，会不会有费用产生啊,公司介绍,投诉,询问还款时间,询问申请费用问题,D
95,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我这没心情，直接联系本人,息费减免,拒绝还款,否认借款,直接联系本人,D
96,根据给定的文本和意图标签，选择符合对话表述的标签。文本：已经还了一部分，娱乐消费没控制住。,部分还款,询问目的,确认本人,还款受阻,A
97,根据给定的文本和意图标签，选择符合对话表述的标签。文本：没有优惠券可用，影响我还款计划。,要求发优惠券,不确定能否通过,是否影响房贷车贷,无借款需求,A
98,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这还款日妨碍我做其他理财规划了，改改吧。,修改还款日,答应代偿,共债,息费减免,A
99,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这么频繁打电话，我什么都干不了。,要求降低利率,表示分期太短,抱怨,投诉,D
